cat;catRaw;catEBSD;microscope;EDS;sample;thinSection;YCells;XCells;YStep;XStep
85ZA71-3-c;85ZA71-3-r;85ZA71-3;JEOL 5600;n;85ZA71-3;85ZA71-3;;;;
85ZA71-c;85ZA71-r;85ZA71;JEOL 5600;n;85ZA71;85ZA71;;;;
85ZA7B-DETAIL-c;85ZA7B-DETAIL-r;85ZA7B-DETAIL;CAMSCAN CRYSTAL PROBE X500FE;y;85ZA7B;85ZA7B;1481.0;1397.0;4.0;4.0
85ZA7B-NEW-c;85ZA7B-NEW-r;85ZA7B-NEW;JEOL 5600;n;85ZA7B;85ZA7B;;;;
85ZA9-c;85ZA9-r;85ZA9;JEOL 5600;n;85ZA9;85ZA9;;;;
85ZF2-c;85ZF2-r;85ZF2;JEOL 5600;n;85ZF2;85ZF2;;;;
86Z30-c;86Z30-r;86Z30;JEOL 5600;n;86Z30;86Z30;;;;
86Z31A-c;86Z31A-r;86Z31A;JEOL 5600;n;86Z31A;86Z31A;;;;
86Z31B-c;86Z31B-r;86Z31B;JEOL 5600;n;86Z31B;86Z31B;;;;
86Z31C-c;86Z31C-r;86Z31C;JEOL 5600;n;86Z31C;86Z31C;;;;
