cat;sscat;subcat;SF;GROD;KAM;NB
85ZA48-DETAIL-c;Orthopyroxene;all;7.9218;1.1967;1.3868;0.69864;124547
85ZA48-DETAIL-c;Clinopyroxene;all;5.9039;1.1606;0.63903;0.39452;17569
85ZA48-DETAIL-c;Spinelle;all;7.2848;1.1831;1.2553;0.63588;6596
85ZA48-DETAIL-c;Bytownite;all;7.1645;1.1856;0.61519;0.72029;2147
85ZA48-DETAIL-c;Pargasite;all;9.8165;1.2442;1.7244;1.393;120301
85ZA48-c;Olivine;all;42.7907;1.2472;2.2633;1.2731;119794
85ZA48-c;Orthopyroxene;all;28.0424;1.1866;1.6212;0.89308;58838
85ZA48-c;Clinopyroxene;all;23.3283;1.1586;2.4487;0.54747;8388
85ZA48-c;Spinelle;all;26.6982;1.1768;1.405;0.83146;4623
85ZA48-c;Pargasite2;all;26.9602;1.1886;1.6567;2.6243;105118
85ZA48-c;Anorthite;all;26.365;1.1786;0.6835;1.1691;1725
85ZA50-c;Olivine;all;51.5105;1.2582;5.4866;1.1761;59948
85ZA50-c;Orthopyroxene;all;30.758;1.2012;2.8812;0.89688;50358
85ZA50-c;Clinopyroxene;all;24.9689;1.1662;2.2555;0.56076;11410
85ZA50-c;Spinelle;all;29.026;1.1915;2.259;0.87047;2866
85ZA50-c;Pargasite2;all;24.4953;1.1749;1.3638;2.7289;63892
85ZA50-c;Anorthite;all;28.0096;1.1832;0.98965;1.2956;2352
85ZA51-DETAIL-c;Olivine;all;55.6312;1.3028;3.7883;0.64975;13531
85ZA51-DETAIL-c;Orthopyroxene;all;17.1004;1.2031;1.3785;0.68717;15154
85ZA51-DETAIL-c;Clinopyroxene;all;12.6232;1.1752;0.31582;0.45348;1896
85ZA51-DETAIL-c;Spinelle;all;12.1525;1.1666;1.1229;1.0746;2039
85ZA51-DETAIL-c;Bytownite;all;8.7255;1.1542;6.7158e-07;NaN;55
85ZA51-c;Olivine;all;115.8005;1.2806;3.4812;1.415;10550
85ZA51-c;Orthopyroxene;all;59.4972;1.2105;1.4106;1.0804;3978
85ZA51-c;Clinopyroxene;all;44.4926;1.166;0.2204;0.47315;697
85ZA51-c;Spinelle;all;46.706;1.1698;0.83769;1.4804;287
85ZA51-c;Pargasite2;all;84.2618;1.2346;2.2466;1.2122;2103
85ZA51-c;Anorthite;all;34.9074;1.1562;0;NaN;2
85ZA61A-c;Olivine;all;18.3393;1.1424;0.037697;1.0345;1227
85ZA63-c;Olivine;all;41.7367;1.2391;1.0035;0.51155;8833
85ZA63-c;Orthopyroxene;all;31.2678;1.2079;2.3537;0.98685;25517
85ZA63-c;Clinopyroxene;all;44.4448;1.2497;1.7745;0.82518;71109
85ZA63-c;Spinelle;all;36.587;1.2075;0.6909;0.30068;1487
85ZA63-c;Pargasite2;all;30.4696;1.2127;1.3117;1.1409;135675
85ZA63-c;Anorthite;all;28.3269;1.1874;0.57597;0.70724;63615
85ZA65-c;Olivine;all;114.7657;1.2225;3.8437;1.1093;4337
85ZA65-c;Orthopyroxene;all;87.9964;1.2167;2.5484;1.0626;4061
85ZA65-c;Clinopyroxene;all;96.3403;1.1937;1.4749;0.6668;2680
85ZA65-c;Spinelle;all;66.3893;1.1895;1.605;1.1951;673
85ZA65-c;Pargasite2;all;56.0115;1.1736;1.2968;2.2606;3800
85ZA65-c;Anorthite;all;49.121;1.1521;0.27799;1.5681;101
85ZA66-c;Olivine;all;17.3328;1.1484;0.053154;0.37717;353
85ZA71-1-c;Olivine;all;75.7304;1.2768;4.5447;0.84655;9801
85ZA71-1-c;Orthopyroxene;all;43.7883;1.241;2.9879;0.68705;9786
85ZA71-1-c;Clinopyroxene;all;34.8319;1.1959;2.6867;0.78772;6788
85ZA71-1-c;Spinelle;all;26.1587;1.1774;1.3955;1.3491;1267
85ZA71-1-c;Pargasite2;all;25.8958;1.1736;0.97761;1.7259;7401
85ZA71-1-c;Anorthite;all;45.0651;1.2488;3.0202;1.1786;7477
85ZA71-12-NEW-c;Olivine;all;80.2754;1.2682;3.4143;0.98509;8341
85ZA71-12-NEW-c;Orthopyroxene;all;48.4982;1.2227;2.4627;1.0139;6256
85ZA71-12-NEW-c;Clinopyroxene;all;70.1105;1.2393;3.7418;0.88516;9111
85ZA71-12-NEW-c;Spinelle;all;48.551;1.206;1.5994;0.54603;600
85ZA71-12-NEW-c;Pargasite2;all;31.3048;1.1663;0.91813;2.4588;6409
85ZA71-12-NEW-c;Anorthite;all;59.3757;1.2533;3.25;1.2163;24110
85ZA71-13-c;Olivine;all;13.5255;1.199;5.1394;0.79698;177504
85ZA71-13-c;Orthopyroxene;all;10.3783;1.1694;0.33797;0.52507;242462
85ZA71-13-c;Clinopyroxene;all;7.6445;1.1455;0.041497;0.49708;15190
85ZA71-13-c;Spinelle;all;11.1917;1.1796;1.1716;1.1771;7393
85ZA71-13-c;Pargasite2;all;14.0783;1.2041;1.2024;0.67163;33499
85ZA71-13-c;Anorthite;all;16.4632;1.2695;0.36777;0.34677;33
85ZA71-13LARGE-c;Olivine;all;34.9864;1.1522;3.8727;2.7806;105988
85ZA71-13LARGE-c;Orthopyroxene;all;30.8427;1.1361;0.088583;3.0289;85376
85ZA71-13LARGE-c;Clinopyroxene;all;30.4;1.1349;0.0038417;1.2912;2680
85ZA71-2-c;Olivine;all;25.8223;1.1796;2.0737;1.9947;312975
85ZA71-2-c;Orthopyroxene;all;21.8236;1.1568;0.76431;2.0097;166618
85ZA71-2-c;Clinopyroxene;all;18.916;1.1395;0.07753;1.3476;7393
85ZA71-2-c;Spinelle;all;19.6307;1.1486;0.38756;0.98458;298
85ZA71-2-c;Pargasite2;all;37.6591;1.2307;1.511;1.0704;67553
85ZA71-2-c;Anorthite;all;18.1114;1.1362;1.423e-06;NaN;6
85ZA71-3-c;Olivine;all;59.0315;1.2553;4.6413;1.0268;23742
85ZA71-3-c;Orthopyroxene;all;21.303;1.173;0.75411;1.9698;2814
85ZA71-3-c;Clinopyroxene;all;47.5587;1.2357;3.7216;0.79761;21148
85ZA71-3-c;Spinelle;all;23.6198;1.1723;1.2447;1.0335;2872
85ZA71-3-c;Pargasite2;all;25.1803;1.1887;1.5874;1.7017;26529
85ZA71-3-c;Anorthite;all;35.7707;1.232;2.8212;1.4204;19829
85ZA71-c;Olivine;all;36.2596;1.2177;4.7795;1.3317;61512
85ZA71-c;Orthopyroxene;all;29.4972;1.1923;2.8945;1.0924;62608
85ZA71-c;Clinopyroxene;all;25.0434;1.1756;1.1906;1.0757;18105
85ZA71-c;Spinelle;all;25.3001;1.173;2.5782;2.3073;2538
85ZA71-c;Pargasite2;all;33.0581;1.2055;2.6711;1.4594;30365
85ZA71-c;Anorthite;all;23.9871;1.1712;1.3411;1.2872;2257
85ZA9-c;Olivine;all;54.0895;1.2466;3.946;1.1799;19371
85ZA9-c;Orthopyroxene;all;34.3;1.1885;1.933;1.0835;22849
85ZA9-c;Clinopyroxene;all;42.0934;1.2069;2.6528;0.84195;25319
85ZA9-c;Spinelle;all;30.3028;1.1701;1.7211;1.1236;1177
85ZA9-c;Pargasite2;all;33.8463;1.1993;2.0278;2.133;57014
85ZA9-c;Anorthite;all;43.001;1.2219;2.5646;1.601;8920
85ZF2-c;Olivine;all;85.2765;1.2907;4.766;0.78158;9625
85ZF2-c;Orthopyroxene;all;52.2636;1.2622;3.6143;0.65744;7877
85ZF2-c;Clinopyroxene;all;38.5106;1.2053;2.7409;0.84669;6868
85ZF2-c;Spinelle;all;28.1657;1.1865;1.7755;1.1338;1482
85ZF2-c;Pargasite2;all;22.1659;1.1539;0.35149;2.4983;1217
85ZF2-c;Anorthite;all;42.8862;1.2435;2.52;1.1696;4808
86Z30-c;Olivine;all;85.8086;1.2536;4.3531;0.71513;4892
86Z30-c;Orthopyroxene;all;60.8776;1.2283;2.8332;0.64286;6767
86Z30-c;Clinopyroxene;all;65.0763;1.2063;2.3425;0.74751;3449
86Z30-c;Spinelle;all;40.9168;1.188;1.0919;0.56684;899
86Z30-c;Pargasite2;all;37.8207;1.1959;2.2246;1.6526;11780
86Z30-c;Anorthite;all;29.8726;1.1582;0.64844;2.1786;4661
86Z31A-c;Olivine;all;71.8956;1.2298;2.8958;0.68015;8600
86Z31A-c;Orthopyroxene;all;53.7542;1.1991;2.0936;0.5599;9290
86Z31A-c;Clinopyroxene;all;54.6189;1.186;1.6181;0.5676;3933
86Z31A-c;Spinelle;all;47.765;1.193;1.019;0.55294;1225
86Z31A-c;Pargasite2;all;39.1373;1.1863;1.8364;2.3242;17635
86Z31A-c;Anorthite;all;32.1032;1.1576;0.64429;2.3902;1303
86Z31B-c;Olivine;all;70.6222;1.2106;0.99279;0.4409;452
86Z31B-c;Orthopyroxene;all;76.0451;1.2185;1.5024;0.71619;6097
86Z31B-c;Clinopyroxene;all;82.1348;1.2152;1.407;0.61043;5859
86Z31B-c;Spinelle;all;42.9364;1.1682;0.78258;0.86949;1284
86Z31B-c;Pargasite2;all;48.3021;1.1878;1.1518;1.6322;22079
86Z31B-c;Anorthite;all;41.4088;1.1611;1.3172;1.4121;3401
86Z31C-c;Olivine;all;42.7786;1.2504;2.6701;0.65614;76451
86Z31C-c;Orthopyroxene;all;29.0562;1.2069;1.3746;0.68974;63953
86Z31C-c;Clinopyroxene;all;18.2382;1.1565;0.30664;0.64199;7754
86Z31C-c;Spinelle;all;29.5379;1.2017;1.086;0.57531;509
