cat;sscat;Pixels;A.Frac(all);A.Frac(Ind);nbGrains;nbGrainsRemoved
86Z30-c;notIndexed;146707;0.16286;0;23924;0
86Z30-c;Olivine;345967;0.38405;0.45877;4892;0
86Z30-c;Orthopyroxene;218774;0.24286;0.2901;6767;0
86Z30-c;Clinopyroxene;132228;0.14678;0.17534;3449;0
86Z30-c;Spinelle;6918;0.0076796;0.0091736;899;0
86Z30-c;Pargasite2;43914;0.048748;0.058232;11780;0
86Z30-c;Anorthite;6320;0.0070158;0.0083806;4661;0
86Z31A-c;notIndexed;184944;0.22115;0;30444;0
86Z31A-c;Olivine;293659;0.35114;0.45085;8600;0
86Z31A-c;Orthopyroxene;224735;0.26873;0.34503;9290;0
86Z31A-c;Clinopyroxene;76343;0.091287;0.11721;3933;0
86Z31A-c;Spinelle;9925;0.011868;0.015238;1225;0
86Z31A-c;Pargasite2;44967;0.053769;0.069037;17635;0
86Z31A-c;Anorthite;1722;0.0020591;0.0026437;1303;0
86Z31B-c;notIndexed;82806;0.19541;0;21264;0
86Z31B-c;Olivine;3305;0.0077993;0.0096935;452;0
86Z31B-c;Orthopyroxene;112887;0.2664;0.3311;6097;0
86Z31B-c;Clinopyroxene;163288;0.38533;0.47892;5859;0
86Z31B-c;Spinelle;3002;0.0070843;0.0088048;1284;0
86Z31B-c;Pargasite2;52806;0.12461;0.15488;22079;0
86Z31B-c;Anorthite;5662;0.013361;0.016607;3401;0
86Z31C-c;notIndexed;460366;0.2252;0;74824;0
86Z31C-c;Olivine;976373;0.47761;0.61643;76451;0
86Z31C-c;Orthopyroxene;285477;0.13965;0.18024;63953;0
86Z31C-c;Clinopyroxene;10778;0.0052723;0.0068047;7754;0
86Z31C-c;Spinelle;4673;0.0022859;0.0029503;509;0
86Z31C-c;Pargasite2;306583;0.14997;0.19356;45649;0
86Z31C-c;Anorthite;30;1.4675e-05;1.894e-05;26;0
