cat;sscat;subcat;J;BA;BC;AC;nb
85ZA45-MICROZ2-c;Clinopyroxene;neo;24.212;0.59678;0.49351;0.39673;128
85ZA45-MICROZ2-c;Clinopyroxene;porph;132.4711;0.65433;0.73948;0.58515;4
85ZA45-MICROZ3-c;Olivine;all;1.7775;0.47992;0.39823;0.41831;9762
85ZA45-MICROZ3-c;Olivine;neo;1.2267;0.43949;0.36166;0.42217;7205
85ZA45-MICROZ3-c;Olivine;porph;2.8685;0.54269;0.45214;0.40945;2557
85ZA45-MICROZ3-c;Orthopyroxene;all;14.8496;0.83733;0.51407;0.17674;4787
85ZA45-MICROZ3-c;Orthopyroxene;neo;1.2443;0.82801;0.50589;0.17788;4099
85ZA45-MICROZ3-c;Orthopyroxene;porph;26.3063;0.73227;0.50874;0.27647;688
85ZA45-MICROZ3-c;Clinopyroxene;all;61.9035;0.2733;0.32552;0.55222;131
85ZA45-MICROZ3-c;Clinopyroxene;neo;39.8419;0.32895;0.3685;0.53956;125
85ZA45-MICROZ3-c;Clinopyroxene;porph;94.0212;0.55744;0.50475;0.44731;6
85ZA48-DETAIL-c;Olivine;all;1.2913;0.22628;0.32421;0.59793;36820
85ZA48-DETAIL-c;Olivine;neo;1.2636;0.12018;0.21986;0.59968;21993
85ZA48-DETAIL-c;Olivine;porph;1.3868;0.35582;0.42331;0.56749;14827
85ZA48-DETAIL-c;Orthopyroxene;all;3.6853;0.404;0.60713;0.70313;18391
85ZA48-DETAIL-c;Orthopyroxene;neo;1.2235;0.4408;0.59299;0.65219;14460
85ZA48-DETAIL-c;Orthopyroxene;porph;15.8941;0.49561;0.31223;0.31662;3931
85ZA48-DETAIL-c;Clinopyroxene;all;23.4504;0.38314;0.33875;0.45561;707
85ZA48-DETAIL-c;Clinopyroxene;neo;15.7101;0.37086;0.34858;0.47772;660
85ZA48-DETAIL-c;Clinopyroxene;porph;55.2514;0.63779;0.47748;0.33969;47
85ZA48-c;Olivine;all;1.2914;0.37789;0.33754;0.45965;41159
85ZA48-c;Olivine;neo;1.1583;0.2548;0.34795;0.59315;19062
85ZA48-c;Olivine;porph;1.4192;0.5728;0.43905;0.36625;22097
85ZA48-c;Orthopyroxene;all;2.8462;0.7655;0.49045;0.22495;9740
85ZA48-c;Orthopyroxene;neo;1.1128;0.83605;0.50394;0.16789;6831
85ZA48-c;Orthopyroxene;porph;5.8428;0.52425;0.45358;0.42932;2909
85ZA48-c;Clinopyroxene;all;20.1736;0.5737;0.45701;0.3833;409
85ZA48-c;Clinopyroxene;neo;5.0277;0.61682;0.48691;0.37009;352
85ZA48-c;Clinopyroxene;porph;33.4286;0.5373;0.42373;0.38643;57
85ZA50-c;Olivine;all;2.0857;0.47919;0.70761;0.72842;24626
85ZA50-c;Olivine;neo;1.2538;0.57084;0.7712;0.70036;13558
85ZA50-c;Olivine;porph;2.489;0.43924;0.67296;0.73373;11068
85ZA50-c;Orthopyroxene;all;1.9704;0.39391;0.70088;0.80697;9861
85ZA50-c;Orthopyroxene;neo;1.3976;0.43319;0.7495;0.81632;6789
85ZA50-c;Orthopyroxene;porph;2.6418;0.29276;0.50476;0.71199;3072
85ZA50-c;Clinopyroxene;all;7.2115;0.73498;0.61997;0.38499;674
85ZA50-c;Clinopyroxene;neo;4.7644;0.71341;0.49985;0.28644;508
85ZA50-c;Clinopyroxene;porph;8.5612;0.45666;0.63964;0.68299;166
85ZA51-DETAIL-c;Olivine;all;2.0102;0.32621;0.33331;0.50711;5949
85ZA51-DETAIL-c;Olivine;neo;1.6518;0.29893;0.31917;0.52023;3068
85ZA51-DETAIL-c;Olivine;porph;2.1595;0.35433;0.34732;0.493;2881
85ZA51-DETAIL-c;Orthopyroxene;all;4.2255;0.50517;0.75418;0.74901;2098
85ZA51-DETAIL-c;Orthopyroxene;neo;3.5569;0.47298;0.75774;0.78476;1427
85ZA51-DETAIL-c;Orthopyroxene;porph;6.8334;0.56832;0.74701;0.67869;671
85ZA51-DETAIL-c;Clinopyroxene;all;18.5318;0.57915;0.69283;0.61368;129
85ZA51-DETAIL-c;Clinopyroxene;neo;19.0624;0.57404;0.66511;0.59107;121
85ZA51-DETAIL-c;Clinopyroxene;porph;41.7669;0.72357;0.61472;0.39115;8
85ZA51-c;Olivine;all;1.9383;0.40324;0.39085;0.48761;4923
85ZA51-c;Olivine;neo;1.5696;0.37416;0.41253;0.53837;1792
85ZA51-c;Olivine;porph;2.0525;0.42982;0.38117;0.45135;3131
85ZA51-c;Orthopyroxene;all;4.1177;0.60003;0.78126;0.68123;763
85ZA51-c;Orthopyroxene;neo;3.7968;0.57013;0.78429;0.71416;450
85ZA51-c;Orthopyroxene;porph;5.353;0.61081;0.73239;0.62158;313
85ZA51-c;Clinopyroxene;all;14.6282;0.52903;0.82673;0.7977;47
85ZA51-c;Clinopyroxene;neo;15.1596;0.52766;0.79579;0.76813;44
85ZA51-c;Clinopyroxene;porph;98.8169;0.49358;0.74184;0.74827;3
85ZA61A-c;Olivine;all;138.0728;0.5;0.5;0.5;1
85ZA61A-c;Olivine;neo;138.0728;0.5;0.5;0.5;1
85ZA63-c;Olivine;all;1.3117;0.3356;0.18805;0.35245;3841
85ZA63-c;Olivine;neo;1.2438;0.27456;0.13668;0.36212;3275
85ZA63-c;Olivine;porph;2.1414;0.47094;0.29516;0.32422;566
85ZA63-c;Orthopyroxene;all;2.4959;0.22915;0.34016;0.611;6147
85ZA63-c;Orthopyroxene;neo;1.258;0.23001;0.3335;0.6035;4464
85ZA63-c;Orthopyroxene;porph;4.0163;0.32109;0.45219;0.63109;1683
85ZA63-c;Clinopyroxene;all;3.2094;0.59179;0.45554;0.36375;31310
85ZA63-c;Clinopyroxene;neo;1.3901;0.59074;0.4786;0.38786;25138
85ZA63-c;Clinopyroxene;porph;9.8881;0.518;0.38703;0.36903;6172
85ZA65-c;Olivine;all;3.3573;0.4755;0.43721;0.46171;981
85ZA65-c;Olivine;neo;1.9189;0.48089;0.43543;0.45454;396
85ZA65-c;Olivine;porph;3.4584;0.49937;0.42831;0.42895;585
85ZA65-c;Orthopyroxene;all;2.927;0.49626;0.48777;0.49151;680
85ZA65-c;Orthopyroxene;neo;3.204;0.69057;0.58074;0.39016;255
85ZA65-c;Orthopyroxene;porph;3.1059;0.37521;0.43808;0.56288;425
85ZA65-c;Clinopyroxene;all;8.7311;0.2717;0.3088;0.53711;346
85ZA65-c;Clinopyroxene;neo;6.7209;0.33235;0.40308;0.57074;138
85ZA65-c;Clinopyroxene;porph;9.1421;0.37414;0.42654;0.5524;208
85ZA66-c;Olivine;all;94.7629;0.46463;0.53428;0.56965;8
85ZA66-c;Olivine;neo;94.7629;0.46463;0.53428;0.56965;8
85ZA71-1-c;Olivine;all;4.8279;0.35969;0.42179;0.5621;3407
85ZA71-1-c;Olivine;neo;2.6423;0.31363;0.37086;0.55723;1490
85ZA71-1-c;Olivine;porph;5.0827;0.39316;0.45949;0.56633;1917
85ZA71-1-c;Orthopyroxene;all;6.1804;0.5728;0.52471;0.4519;2257
85ZA71-1-c;Orthopyroxene;neo;2.0037;0.56973;0.51583;0.4461;1250
85ZA71-1-c;Orthopyroxene;porph;7.5715;0.56304;0.52134;0.4583;1007
85ZA71-1-c;Clinopyroxene;all;5.4503;0.35906;0.44329;0.58423;953
85ZA71-1-c;Clinopyroxene;neo;3.0304;0.46323;0.43847;0.47524;561
85ZA71-1-c;Clinopyroxene;porph;7.4967;0.38793;0.56823;0.6803;392
85ZA71-12-NEW-c;Olivine;all;2.7325;0.31733;0.31097;0.49364;3130
85ZA71-12-NEW-c;Olivine;neo;2.5291;0.40346;0.36309;0.45963;1517
85ZA71-12-NEW-c;Olivine;porph;2.9149;0.24112;0.26868;0.52756;1613
85ZA71-12-NEW-c;Orthopyroxene;all;3.9793;0.66669;0.60079;0.4341;1208
85ZA71-12-NEW-c;Orthopyroxene;neo;3.5549;0.6824;0.60413;0.42173;606
85ZA71-12-NEW-c;Orthopyroxene;porph;4.6153;0.63443;0.57121;0.43677;602
85ZA71-12-NEW-c;Clinopyroxene;all;7.4455;0.57529;0.70645;0.63116;2746
85ZA71-12-NEW-c;Clinopyroxene;neo;2.3539;0.52449;0.60218;0.57769;1342
85ZA71-12-NEW-c;Clinopyroxene;porph;8.5131;0.59038;0.76359;0.67321;1404
85ZA71-13-c;Olivine;all;3.113;0.27974;0.26729;0.48756;49389
85ZA71-13-c;Olivine;neo;1.8903;0.27471;0.25298;0.47827;39938
85ZA71-13-c;Olivine;porph;4.9543;0.30727;0.33235;0.52508;9451
85ZA71-13-c;Orthopyroxene;all;1.0858;0.49697;0.64774;0.65076;34494
85ZA71-13-c;Orthopyroxene;neo;1.0865;0.50101;0.6521;0.65109;31582
85ZA71-13-c;Orthopyroxene;porph;1.1579;0.45155;0.50576;0.55422;2912
85ZA71-13-c;Clinopyroxene;all;12.7036;0.65907;0.54379;0.38472;64
85ZA71-13-c;Clinopyroxene;neo;12.2205;0.7109;0.64068;0.42979;58
85ZA71-13-c;Clinopyroxene;porph;146.3157;0.50028;0.60045;0.60017;6
85ZA71-13LARGE-c;Olivine;all;2.8762;0.34911;0.41658;0.56747;3293
85ZA71-13LARGE-c;Olivine;neo;1.6296;0.20259;0.21165;0.50906;1074
85ZA71-13LARGE-c;Olivine;porph;3.0649;0.37583;0.50984;0.634;2219
85ZA71-13LARGE-c;Orthopyroxene;all;2.8069;0.6659;0.71999;0.5541;93
85ZA71-13LARGE-c;Orthopyroxene;neo;3.5779;0.67043;0.71781;0.54738;68
85ZA71-13LARGE-c;Orthopyroxene;porph;6.488;0.41042;0.45531;0.54488;25
85ZA71-2-c;Olivine;all;1.4482;0.44753;0.37643;0.4289;38867
85ZA71-2-c;Olivine;neo;1.6058;0.35543;0.3627;0.50727;14595
85ZA71-2-c;Olivine;porph;1.4872;0.51201;0.38516;0.37314;24272
85ZA71-2-c;Orthopyroxene;all;1.1097;0.43781;0.51073;0.57292;10060
85ZA71-2-c;Orthopyroxene;neo;1.0966;0.17455;0.22134;0.54678;4770
85ZA71-2-c;Orthopyroxene;porph;1.1837;0.44355;0.49659;0.55304;5290
85ZA71-2-c;Clinopyroxene;all;24.9195;0.83903;0.57924;0.24021;24
85ZA71-2-c;Clinopyroxene;neo;25.9064;0.80727;0.58803;0.28077;23
85ZA71-2-c;Clinopyroxene;porph;263.7423;0.5;0.5;0.5;1
85ZA71-3-c;Olivine;all;2.8832;0.55321;0.55907;0.50586;7521
85ZA71-3-c;Olivine;neo;1.7052;0.46481;0.5894;0.62459;3039
85ZA71-3-c;Olivine;porph;3.0187;0.60195;0.55003;0.44807;4482
85ZA71-3-c;Orthopyroxene;all;14.3536;0.43297;0.63942;0.70645;162
85ZA71-3-c;Orthopyroxene;neo;44.2087;0.55815;0.61384;0.55569;78
85ZA71-3-c;Orthopyroxene;porph;3.3481;0.39466;0.66432;0.76965;84
85ZA71-3-c;Clinopyroxene;all;4.0729;0.36841;0.56537;0.69696;5481
85ZA71-3-c;Clinopyroxene;neo;1.8434;0.42054;0.68491;0.76437;2475
85ZA71-3-c;Clinopyroxene;porph;4.5906;0.33152;0.46645;0.63493;3006
85ZA71-c;Olivine;all;2.7805;0.37273;0.38693;0.5142;11551
85ZA71-c;Olivine;neo;2.17;0.49875;0.59152;0.59277;4008
85ZA71-c;Olivine;porph;2.8803;0.31413;0.306;0.49188;7543
85ZA71-c;Orthopyroxene;all;3.6059;0.25806;0.28352;0.52546;8200
85ZA71-c;Orthopyroxene;neo;1.3902;0.23585;0.14834;0.4125;3317
85ZA71-c;Orthopyroxene;porph;4.2937;0.29959;0.37722;0.57763;4883
85ZA71-c;Clinopyroxene;all;3.6981;0.2912;0.32074;0.52954;1889
85ZA71-c;Clinopyroxene;neo;3.9272;0.30545;0.32714;0.52169;1143
85ZA71-c;Clinopyroxene;porph;4.6561;0.26731;0.30714;0.53984;746
85ZA9-c;Olivine;all;3.0216;0.48433;0.53002;0.54569;5326
85ZA9-c;Olivine;neo;2.0364;0.40164;0.45108;0.54944;2183
85ZA9-c;Olivine;porph;3.2389;0.53451;0.57345;0.53894;3143
85ZA9-c;Orthopyroxene;all;2.7875;0.50457;0.28004;0.27547;2851
85ZA9-c;Orthopyroxene;neo;1.6742;0.55744;0.22702;0.16958;1377
85ZA9-c;Orthopyroxene;porph;3.5391;0.49022;0.38254;0.39232;1474
85ZA9-c;Clinopyroxene;all;4.0597;0.27709;0.32066;0.54357;4277
85ZA9-c;Clinopyroxene;neo;2.2443;0.3427;0.34973;0.50702;2205
85ZA9-c;Clinopyroxene;porph;4.613;0.24035;0.31819;0.57784;2072
85ZF2-c;Olivine;all;3.452;0.17976;0.23437;0.55462;4900
85ZF2-c;Olivine;neo;1.878;0.14656;0.20996;0.56341;2895
85ZF2-c;Olivine;porph;3.8315;0.22471;0.26881;0.54411;2005
85ZF2-c;Orthopyroxene;all;5.3559;0.68075;0.50505;0.3243;2674
85ZF2-c;Orthopyroxene;neo;1.6083;0.65764;0.43315;0.27551;1659
85ZF2-c;Orthopyroxene;porph;6.467;0.69468;0.59412;0.39943;1015
85ZF2-c;Clinopyroxene;all;3.7891;0.72498;0.83318;0.6082;1536
85ZF2-c;Clinopyroxene;neo;2.2808;0.75214;0.76182;0.50968;999
85ZF2-c;Clinopyroxene;porph;5.6156;0.6981;0.68562;0.48752;537
86Z30-c;Olivine;all;3.6671;0.51698;0.42876;0.41178;1497
86Z30-c;Olivine;neo;2.0213;0.49061;0.46024;0.46963;738
86Z30-c;Olivine;porph;3.7632;0.54482;0.40427;0.35945;759
86Z30-c;Orthopyroxene;all;4.762;0.34927;0.34016;0.49089;1353
86Z30-c;Orthopyroxene;neo;9.3687;0.35804;0.30434;0.4463;686
86Z30-c;Orthopyroxene;porph;4.8281;0.34151;0.41051;0.569;667
86Z30-c;Clinopyroxene;all;4.8856;0.35106;0.24071;0.38965;484
86Z30-c;Clinopyroxene;neo;11.0696;0.42704;0.28424;0.35721;213
86Z30-c;Clinopyroxene;porph;5.0191;0.37246;0.33374;0.46128;271
86Z31A-c;Olivine;all;2.6103;0.36694;0.35139;0.48445;1999
86Z31A-c;Olivine;neo;1.6653;0.32058;0.33217;0.51159;986
86Z31A-c;Olivine;porph;2.7152;0.3786;0.33134;0.45275;1013
86Z31A-c;Orthopyroxene;all;5.9984;0.43305;0.68505;0.752;1306
86Z31A-c;Orthopyroxene;neo;3.4428;0.4285;0.66386;0.73537;658
86Z31A-c;Orthopyroxene;porph;6.3474;0.5057;0.62644;0.62073;648
86Z31A-c;Clinopyroxene;all;5.586;0.64673;0.58293;0.43621;393
86Z31A-c;Clinopyroxene;neo;8.5886;0.66813;0.50379;0.33566;198
86Z31A-c;Clinopyroxene;porph;5.9033;0.48115;0.4682;0.48705;195
86Z31B-c;Olivine;all;12.2818;0.71236;0.5261;0.31375;106
86Z31B-c;Olivine;neo;8.755;0.69263;0.55598;0.36334;90
86Z31B-c;Olivine;porph;33.1493;0.72097;0.4181;0.19714;16
86Z31B-c;Orthopyroxene;all;3.0226;0.62006;0.38753;0.26747;1097
86Z31B-c;Orthopyroxene;neo;3.8015;0.70318;0.3707;0.16752;676
86Z31B-c;Orthopyroxene;porph;3.2456;0.62234;0.47227;0.34993;421
86Z31B-c;Clinopyroxene;all;4.979;0.53857;0.67524;0.63666;890
86Z31B-c;Clinopyroxene;neo;4.2435;0.75279;0.69956;0.44677;546
86Z31B-c;Clinopyroxene;porph;5.2128;0.40637;0.52465;0.61828;344
86Z31C-c;Olivine;all;1.6579;0.38556;0.58861;0.70305;32095
86Z31C-c;Olivine;neo;1.1178;0.39384;0.60415;0.71031;24148
86Z31C-c;Olivine;porph;2.7517;0.41374;0.52199;0.60826;7947
86Z31C-c;Orthopyroxene;all;3.7145;0.38347;0.51111;0.62763;17524
86Z31C-c;Orthopyroxene;neo;1.1267;0.36783;0.47783;0.61001;14579
86Z31C-c;Orthopyroxene;porph;16.4474;0.36994;0.54641;0.67647;2945
86Z31C-c;Clinopyroxene;all;34.2713;0.46144;0.47188;0.51044;204
86Z31C-c;Clinopyroxene;neo;56.581;0.44055;0.47909;0.53854;191
86Z31C-c;Clinopyroxene;porph;77.7416;0.91875;0.51421;0.095462;13
