cat;sscat;subcat;J;BA;BC;AC;nb
85ZA11-DETAIL-c;Olivine;neo;2.305;0.30282;0.20222;0.3994;48133
85ZA11-DETAIL-c;Olivine;porph;4.1455;0.41669;0.29893;0.38223;20667
85ZA11-DETAIL-c;Orthopyroxene;all;1.0926;0.31313;0.69066;0.87753;8640
85ZA11-DETAIL-c;Orthopyroxene;neo;1.0783;0.44639;0.74709;0.8007;7043
85ZA11-DETAIL-c;Orthopyroxene;porph;1.4464;0.4544;0.82644;0.87205;1597
85ZA11-DETAIL-c;Clinopyroxene;all;2.0288;0.51892;0.70897;0.69004;3488
85ZA11-DETAIL-c;Clinopyroxene;neo;1.9753;0.52028;0.72584;0.70557;2839
85ZA11-DETAIL-c;Clinopyroxene;porph;2.8985;0.51801;0.6523;0.63429;649
85ZA11-MICRO1-c;Olivine;all;2.5219;0.25886;0.16909;0.41022;17030
85ZA11-MICRO1-c;Olivine;neo;2.5593;0.23265;0.17275;0.44011;12803
85ZA11-MICRO1-c;Olivine;porph;2.6827;0.33782;0.22817;0.39035;4227
85ZA11-MICRO1-c;Orthopyroxene;all;1.0508;0.60368;0.49942;0.39575;8580
85ZA11-MICRO1-c;Orthopyroxene;neo;1.0494;0.52095;0.43332;0.41237;7334
85ZA11-MICRO1-c;Orthopyroxene;porph;1.2593;0.63657;0.74505;0.60848;1246
85ZA11-MICRO1-c;Clinopyroxene;all;2.8223;0.46663;0.58501;0.61838;1265
85ZA11-MICRO1-c;Clinopyroxene;neo;2.7397;0.46533;0.57019;0.60486;1104
85ZA11-MICRO1-c;Clinopyroxene;porph;6.8833;0.49007;0.68412;0.69405;161
85ZA11-MICRO2-c;Olivine;all;2.2066;0.39509;0.34858;0.4535;12894
85ZA11-MICRO2-c;Olivine;neo;2.282;0.37635;0.32981;0.45346;10004
85ZA11-MICRO2-c;Olivine;porph;2.3426;0.45881;0.41798;0.45918;2890
85ZA11-MICRO2-c;Orthopyroxene;all;1.0663;0.57884;0.63259;0.55374;12006
85ZA11-MICRO2-c;Orthopyroxene;neo;1.0624;0.5651;0.69313;0.62804;10121
85ZA11-MICRO2-c;Orthopyroxene;porph;1.3153;0.50921;0.49493;0.48572;1885
85ZA11-MICRO2-c;Clinopyroxene;all;2.9749;0.39936;0.48061;0.58125;995
85ZA11-MICRO2-c;Clinopyroxene;neo;3.0826;0.39626;0.46363;0.56737;871
85ZA11-MICRO2-c;Clinopyroxene;porph;7.55;0.40194;0.53962;0.63768;124
85ZA7B-DETAIL-c;Olivine;all;2.1773;0.48172;0.43237;0.45065;20064
85ZA7B-DETAIL-c;Olivine;neo;1.7888;0.47438;0.43939;0.46501;15943
85ZA7B-DETAIL-c;Olivine;porph;3.095;0.5028;0.42969;0.42689;4121
85ZA7B-DETAIL-c;Orthopyroxene;all;1.6013;0.43106;0.44302;0.51195;18350
85ZA7B-DETAIL-c;Orthopyroxene;neo;1.2771;0.42992;0.41179;0.48186;16571
85ZA7B-DETAIL-c;Orthopyroxene;porph;4.5772;0.4839;0.59937;0.61547;1779
85ZA7B-DETAIL-c;Clinopyroxene;all;21.6849;0.59824;0.42777;0.32953;1208
85ZA7B-DETAIL-c;Clinopyroxene;neo;3.0616;0.58332;0.43737;0.35405;1088
85ZA7B-DETAIL-c;Clinopyroxene;porph;57.745;0.78519;0.52624;0.24104;120
85ZA7B-NEW-c;Olivine;all;1.9792;0.44312;0.47899;0.53587;34754
85ZA7B-NEW-c;Olivine;neo;1.5122;0.42498;0.46718;0.54221;20700
85ZA7B-NEW-c;Olivine;porph;2.365;0.4614;0.52032;0.55892;14054
85ZA7B-NEW-c;Orthopyroxene;all;5.0052;0.59897;0.25113;0.15216;10323
85ZA7B-NEW-c;Orthopyroxene;neo;1.1684;0.30452;0.17106;0.36654;6389
85ZA7B-NEW-c;Orthopyroxene;porph;6.7524;0.52938;0.34121;0.31183;3934
85ZA7B-NEW-c;Clinopyroxene;all;10.8491;0.64079;0.68794;0.54715;3311
85ZA7B-NEW-c;Clinopyroxene;neo;2.012;0.56818;0.62591;0.55772;2258
85ZA7B-NEW-c;Clinopyroxene;porph;14.8364;0.47048;0.58396;0.61348;1053
85ZA45-AREA1-DETAIL-c;Olivine;all;1.6711;0.30172;0.41342;0.6117;5954
85ZA45-AREA1-DETAIL-c;Olivine;neo;1.5883;0.32191;0.41831;0.5964;4651
85ZA45-AREA1-DETAIL-c;Olivine;porph;2.5024;0.26678;0.411;0.64422;1303
85ZA45-AREA1-DETAIL-c;Orthopyroxene;all;23.8625;0.74127;0.61812;0.37685;7522
85ZA45-AREA1-DETAIL-c;Orthopyroxene;neo;1.4288;0.70049;0.64434;0.44385;6380
85ZA45-AREA1-DETAIL-c;Orthopyroxene;porph;73.3731;0.8237;0.51184;0.18814;1142
85ZA45-AREA1-DETAIL-c;Clinopyroxene;all;232.5115;0.48522;0.37367;0.38845;305
85ZA45-AREA1-DETAIL-c;Clinopyroxene;neo;52.6193;0.49389;0.38796;0.39407;299
85ZA45-AREA1-DETAIL-c;Clinopyroxene;porph;259.0285;0.46105;0.39013;0.42908;6
85ZA45-AREA2-DETAIL-c;Olivine;all;1.3144;0.45688;0.41659;0.45972;51280
85ZA45-AREA2-DETAIL-c;Olivine;neo;1.1207;0.4516;0.45702;0.50542;35814
85ZA45-AREA2-DETAIL-c;Olivine;porph;1.7499;0.53999;0.41576;0.37577;15466
85ZA45-AREA2-DETAIL-c;Orthopyroxene;all;4.471;0.78196;0.49264;0.21068;25638
85ZA45-AREA2-DETAIL-c;Orthopyroxene;neo;1.1073;0.75919;0.47416;0.21497;20261
85ZA45-AREA2-DETAIL-c;Orthopyroxene;porph;14.6896;0.59322;0.47063;0.37742;5377
85ZA45-AREA2-DETAIL-c;Clinopyroxene;all;42.1023;0.58272;0.46411;0.38139;675
85ZA45-AREA2-DETAIL-c;Clinopyroxene;neo;21.0875;0.5896;0.46457;0.37497;655
85ZA45-AREA2-DETAIL-c;Clinopyroxene;porph;61.1004;0.56141;0.47603;0.41462;20
85ZA11Z1-CP-c;Olivine;all;2.5207;0.26449;0.16963;0.40514;16931
85ZA11Z1-CP-c;Olivine;neo;2.5593;0.24181;0.17458;0.43277;12482
85ZA11Z1-CP-c;Olivine;porph;2.6852;0.3289;0.22297;0.39407;4449
85ZA11Z1-CP-c;Orthopyroxene;all;1.0608;0.63449;0.59019;0.4557;7442
85ZA11Z1-CP-c;Orthopyroxene;neo;1.0629;0.62138;0.59455;0.47317;6057
85ZA11Z1-CP-c;Orthopyroxene;porph;1.2558;0.6954;0.62103;0.42563;1385
85ZA11Z1-CP-c;Clinopyroxene;all;2.9132;0.47369;0.60119;0.62751;1194
85ZA11Z1-CP-c;Clinopyroxene;neo;2.8603;0.4721;0.58151;0.60941;1021
85ZA11Z1-CP-c;Clinopyroxene;porph;6.8087;0.48417;0.69777;0.71359;173
85ZA11Z2-CP-c;Olivine;all;2.2035;0.39873;0.34983;0.4511;12988
85ZA11Z2-CP-c;Olivine;neo;2.3137;0.38073;0.33238;0.45166;10020
85ZA11Z2-CP-c;Olivine;porph;2.3347;0.45854;0.41171;0.45317;2968
85ZA11Z2-CP-c;Orthopyroxene;all;1.0726;0.60107;0.62578;0.52471;11488
85ZA11Z2-CP-c;Orthopyroxene;neo;1.0687;0.57141;0.65763;0.58623;9493
85ZA11Z2-CP-c;Orthopyroxene;porph;1.3235;0.50796;0.51313;0.50517;1995
85ZA11Z2-CP-c;Clinopyroxene;all;3.0093;0.39719;0.47962;0.58243;970
85ZA11Z2-CP-c;Clinopyroxene;neo;3.1117;0.39651;0.4708;0.57428;842
85ZA11Z2-CP-c;Clinopyroxene;porph;7.7116;0.40995;0.51513;0.60518;128
85ZA15-c;Olivine;all;3.5127;0.37182;0.41311;0.54129;3728
85ZA15-c;Olivine;neo;2.6193;0.25698;0.34049;0.58352;715
85ZA15-c;Olivine;porph;3.5661;0.39942;0.43236;0.53294;3013
85ZA15-c;Orthopyroxene;all;13.8606;0.59138;0.63358;0.54221;1345
85ZA15-c;Orthopyroxene;neo;3.8866;0.55837;0.49935;0.44098;465
85ZA15-c;Orthopyroxene;porph;14.8848;0.56974;0.65213;0.58239;880
85ZA15-c;Clinopyroxene;all;4.1289;0.61251;0.84677;0.73426;1236
85ZA15-c;Clinopyroxene;neo;3.2798;0.62113;0.60552;0.48439;452
85ZA15-c;Clinopyroxene;porph;5.1464;0.62054;0.77595;0.65542;784
85ZA17-DETAIL-c;Olivine;all;2.5591;0.28831;0.35525;0.56694;14592
85ZA17-DETAIL-c;Olivine;neo;1.8379;0.3118;0.38129;0.56949;5890
85ZA17-DETAIL-c;Olivine;porph;2.6568;0.27472;0.33961;0.56489;8702
85ZA17-DETAIL-c;Orthopyroxene;all;3.0389;0.54739;0.52576;0.47837;6451
85ZA17-DETAIL-c;Orthopyroxene;neo;1.679;0.54417;0.51848;0.4743;3009
85ZA17-DETAIL-c;Orthopyroxene;porph;3.6753;0.5446;0.52694;0.48234;3442
85ZA17-DETAIL-c;Clinopyroxene;all;4.1621;0.73969;0.63877;0.39908;2604
85ZA17-DETAIL-c;Clinopyroxene;neo;2.7184;0.65803;0.65766;0.49962;1434
85ZA17-DETAIL-c;Clinopyroxene;porph;6.3345;0.80346;0.5845;0.28104;1170
85ZA17-c;Olivine;all;2.506;0.37262;0.47405;0.60144;7667
85ZA17-c;Olivine;neo;1.9909;0.40689;0.57044;0.66356;2231
85ZA17-c;Olivine;porph;2.5668;0.35923;0.43989;0.58066;5436
85ZA17-c;Orthopyroxene;all;4.1583;0.68466;0.49403;0.30937;2686
85ZA17-c;Orthopyroxene;neo;3.3267;0.66349;0.54422;0.38073;995
85ZA17-c;Orthopyroxene;porph;4.7016;0.66574;0.47038;0.30463;1691
85ZA17-c;Clinopyroxene;all;3.4974;0.51558;0.66507;0.64949;1666
85ZA17-c;Clinopyroxene;neo;3.0436;0.37012;0.576;0.70589;817
85ZA17-c;Clinopyroxene;porph;5.0234;0.77388;0.73713;0.46325;849
85ZA21-c;Olivine;all;3.8111;0.51316;0.63462;0.62146;4518
85ZA21-c;Olivine;neo;2.4225;0.43418;0.58607;0.65189;1382
85ZA21-c;Olivine;porph;3.9264;0.54632;0.62859;0.58227;3136
85ZA21-c;Orthopyroxene;all;6.2348;0.34806;0.30042;0.45236;1849
85ZA21-c;Orthopyroxene;neo;2.044;0.33049;0.2429;0.41241;967
85ZA21-c;Orthopyroxene;porph;7.3258;0.38324;0.38262;0.49939;882
85ZA21-c;Clinopyroxene;all;4.5951;0.50526;0.47411;0.46886;1218
85ZA21-c;Clinopyroxene;neo;2.8398;0.48757;0.43495;0.44738;655
85ZA21-c;Clinopyroxene;porph;5.9194;0.51157;0.52552;0.51395;563
85ZA22B-c;Olivine;all;2.4624;0.60943;0.5868;0.47737;14482
85ZA22B-c;Olivine;neo;1.5501;0.59478;0.57652;0.48174;6272
85ZA22B-c;Olivine;porph;2.6786;0.62109;0.59364;0.47255;8210
85ZA22B-c;Orthopyroxene;all;3.2666;0.53896;0.52843;0.48947;8163
85ZA22B-c;Orthopyroxene;neo;1.4631;0.5738;0.56465;0.49085;4326
85ZA22B-c;Orthopyroxene;porph;3.9997;0.47994;0.481;0.50106;3837
85ZA22B-c;Clinopyroxene;all;4.442;0.60003;0.59766;0.49763;3176
85ZA22B-c;Clinopyroxene;neo;1.9448;0.47774;0.56183;0.58409;1862
85ZA22B-c;Clinopyroxene;porph;6.3937;0.74643;0.5751;0.32868;1314
85ZA26-c;Olivine;all;4.2306;0.35258;0.38272;0.53014;4995
85ZA26-c;Olivine;neo;2.7603;0.33054;0.37092;0.54038;1828
85ZA26-c;Olivine;porph;4.395;0.37385;0.39836;0.52451;3167
85ZA26-c;Orthopyroxene;all;4.0336;0.72314;0.40721;0.18407;2876
85ZA26-c;Orthopyroxene;neo;1.6302;0.70544;0.44187;0.23642;1564
85ZA26-c;Orthopyroxene;porph;4.9031;0.63703;0.36737;0.23034;1312
85ZA26-c;Clinopyroxene;all;6.6463;0.44776;0.6077;0.65994;620
85ZA26-c;Clinopyroxene;neo;4.3314;0.43945;0.6542;0.71475;401
85ZA26-c;Clinopyroxene;porph;10.6823;0.46272;0.52739;0.56467;219
85ZA26C-c;Olivine;all;2.0887;0.29105;0.38581;0.59476;3177
85ZA26C-c;Olivine;neo;1.7539;0.34118;0.54957;0.70839;1210
85ZA26C-c;Olivine;porph;2.254;0.27211;0.31213;0.54001;1967
85ZA26C-c;Orthopyroxene;all;2.3314;0.49135;0.34638;0.35503;2340
85ZA26C-c;Orthopyroxene;neo;1.8882;0.35762;0.27186;0.41425;853
85ZA26C-c;Orthopyroxene;porph;2.534;0.57723;0.40544;0.32821;1487
85ZA26C-c;Clinopyroxene;all;2.7143;0.65982;0.51966;0.35984;4338
85ZA26C-c;Clinopyroxene;neo;1.9012;0.62019;0.5105;0.39031;1928
85ZA26C-c;Clinopyroxene;porph;3.0315;0.68716;0.508;0.32085;2410
85ZA3-c;Olivine;all;2.2271;0.50696;0.48821;0.48124;8856
85ZA3-c;Olivine;neo;1.7138;0.52936;0.48411;0.45476;1842
85ZA3-c;Olivine;porph;2.2971;0.5011;0.48886;0.48777;7014
85ZA3-c;Orthopyroxene;all;5.3055;0.52997;0.59258;0.56261;4588
85ZA3-c;Orthopyroxene;neo;3.8532;0.57174;0.43995;0.36821;1856
85ZA3-c;Orthopyroxene;porph;6.0905;0.41925;0.44455;0.5253;2732
85ZA3-c;Clinopyroxene;all;12.9111;0.38548;0.25899;0.37351;3138
85ZA3-c;Clinopyroxene;neo;2.7619;0.32032;0.33204;0.51172;1410
85ZA3-c;Clinopyroxene;porph;14.9154;0.64802;0.4341;0.28608;1728
